id,book_id,title,authors,original_publication_year,average_rating,ratings_count
1,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,4.34,4780653
2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,4.44,4602479
3,41865,"Twilight (Twilight, #1)",Stephenie Meyer,2005,3.57,3866839
4,2657,To Kill a Mockingbird,Harper Lee,1960,4.25,3198671
5,4671,The Great Gatsby,F. Scott Fitzgerald,1925,3.89,2683664
6,11870085,The Fault in Our Stars,John Green,2012,4.26,2346404
7,5907,The Hobbit,J.R.R. Tolkien,1937,4.25,2071616
8,5107,The Catcher in the Rye,J.D. Salinger,1951,3.79,2044241
9,960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000,3.85,2001311
10,1885,Pride and Prejudice,Jane Austen,1813,4.24,2035490
11,77203,The Kite Runner,Khaled Hosseini,2003,4.26,1813044
12,13335037,"Divergent (Divergent, #1)",Veronica Roth,2011,4.24,1903563
13,5470,1984,"George Orwell, Erich Fromm, Celâl Üster",1949,4.14,1956832
14,7613,Animal Farm,George Orwell,1945,3.87,1881700
15,48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,4.1,1972666
16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005,4.11,1808403
17,6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,4.3,1831039
18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999,4.53,1832823
19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,4.34,1766803
20,7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,4.03,1719760
21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003,4.46,1735368
22,12232938,The Lovely Bones,Alice Sebold,2002,3.77,1605173
23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998,4.37,1779331
24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000,4.53,1753043
25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007,4.61,1746574
26,968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003,3.79,1447148
27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005,4.54,1678823
28,7624,Lord of the Flies,William Golding,1954,3.64,1605019
29,18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595,3.73,1628519
30,8442457,Gone Girl,Gillian Flynn,2012,4.03,512475
31,4667024,The Help,Kathryn Stockett,2009,4.45,1531753
32,890,Of Mice and Men,John Steinbeck,1937,3.84,1467496
33,930,Memoirs of a Geisha,Arthur Golden,1997,4.08,1300209
34,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,3.67,1338493
35,865,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988,3.82,1299566
36,3636,"The Giver (The Giver, #1)",Lois Lowry,1993,4.12,1296825
37,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,4.19,1531800
38,14050,The Time Traveler's Wife,Audrey Niffenegger,2003,3.95,746287
39,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,4.45,1319204
40,19501,"Eat, Pray, Love",Elizabeth Gilbert,2006,3.51,1181647
41,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005,4.23,1366265
42,1934,"Little Women (Little Women, #1)",Louisa May Alcott,1868,4.04,1257121
43,10210,Jane Eyre,"Charlotte Brontë, Michael Mason",1847,4.1,1198557
44,15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,4.06,1053403
45,4214,Life of Pi,Yann Martel,2001,3.88,1003228
46,43641,Water for Elephants,Sara Gruen,2006,4.07,1068146
47,19063,The Book Thief,Markus Zusak,2005,4.36,1159741
48,4381,Fahrenheit 451,Ray Bradbury,1953,3.97,570498
49,49041,"New Moon (Twilight, #2)",Stephenie Meyer,2006,3.52,1149630
50,30119,Where the Sidewalk Ends,Shel Silverstein,1974,4.29,1016888
51,256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,4.12,1154031
52,428263,"Eclipse (Twilight, #3)",Stephenie Meyer,2007,3.69,1134511
53,113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002,3.86,1104021
54,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,4.2,936782
55,5129,Brave New World,Aldous Huxley,1932,3.97,1022601
56,1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008,3.7,1070245
57,37435,The Secret Life of Bees,Sue Monk Kidd,2001,4.01,916189
58,2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884,3.8,953758
59,24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952,4.15,1064521
60,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,3.85,867553
61,22557272,The Girl on the Train,Paula Hawkins,2015,3.88,1008778
62,119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995,3.94,953970
63,6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847,3.82,899195
64,10917,My Sister's Keeper,Jodi Picoult,2004,4.06,863879
65,4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969,4.06,846488
66,18405,Gone with the Wind,Margaret Mitchell,1936,4.28,873981
67,128029,A Thousand Splendid Suns,Khaled Hosseini,2007,4.34,818742
68,22628,The Perks of Being a Wallflower,Stephen Chbosky,1999,4.21,888806
69,11735983,"Insurgent (Divergent, #2)",Veronica Roth,2012,4.07,836362
70,375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985,4.3,813439
71,18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,3.75,808589
72,11588,The Shining (The Shining #1),Stephen King,1977,4.17,791850
73,1656001,"The Host (The Host, #1)",Stephenie Meyer,2008,3.84,749780
74,99561,Looking for Alaska,John Green,2005,4.09,783470
75,227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,3.75,736498
76,14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811,4.06,738894
77,38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998,3.93,747445
78,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,3.7,665930
79,1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,3.73,670326
80,157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,4.28,738757
81,7445,The Glass Castle,Jeannette Walls,2005,4.24,621099
82,1845,Into the Wild,Jon Krakauer,1996,3.94,647684
83,1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,3.81,637412
84,7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990,3.96,447833
85,370493,The Giving Tree,Shel Silverstein,1964,4.38,702332
86,32542,A Time to Kill,John Grisham,1989,4.03,597775
87,1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958,4.3,691231
88,6442769,Paper Towns,John Green,2008,3.88,461311
89,21787,The Princess Bride ,William Goldman,1973,4.25,628637
90,231804,The Outsiders,S.E. Hinton,1967,4.06,659248
91,6186357,"The Maze Runner (Maze Runner, #1)",James Dashner,2009,4.02,719925
92,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005,3.93,524191
93,2998,The Secret Garden,Frances Hodgson Burnett,1911,4.12,639357
94,320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967,4.04,490565
95,5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891,4.06,590014
96,13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012,3.88,387290
97,17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897,3.98,618973
98,5060378,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",2006,4.22,563994
99,11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011,3.87,552059
100,7244,The Poisonwood Bible,Barbara Kingsolver,1998,4.02,546502
101,4137,Me Talk Pretty One Day,David Sedaris,2000,3.97,495736
102,19543,Where the Wild Things Are,Maurice Sendak,1963,4.22,620618
103,7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",1844,4.21,555822
104,6288,The Road,Cormac McCarthy,2006,3.95,504793
105,18710190,"Allegiant (Divergent, #3)",Veronica Roth,2013,3.63,463257
106,9418327,Bossypants,Tina Fey,2011,3.94,506250
107,3473,A Walk to Remember,Nicholas Sparks,1999,4.15,546948
108,9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000,3.61,543658
109,24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,4.14,513407
110,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998,4.4,523303
111,10441,The Memory Keeper's Daughter,Kim Edwards,2005,3.64,501430
112,15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,4.27,587647
113,168668,Catch-22,Joseph Heller,1961,3.98,563265
114,6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997,4.06,556518
115,2187,Middlesex,Jeffrey Eugenides,2002,3.98,488243
116,24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876,3.89,555359
117,18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962,4.04,615907
118,7763,The Joy Luck Club,Amy Tan,1989,3.9,515090
119,38447,The Handmaid's Tale,Margaret Atwood,1985,4.06,607889
120,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001,3.75,525706
121,7604,Lolita,"Vladimir Nabokov, Craig Raine",1955,3.88,469836
122,37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",1995,3.52,506900
123,5358,"The Firm (Penguin Readers, Level 5)",John Grisham,1991,3.99,488269
124,7937843,Room,Emma Donoghue,2010,4.03,511360
125,1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600,4,515820
126,234225,Dune (Dune Chronicles #1),Frank Herbert,1965,4.19,485032
127,2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,3.92,490504
128,11084145,Steve Jobs,Walter Isaacson,2011,4.09,560715
129,332613,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,4.18,491642
130,2165,The Old Man and the Sea,Ernest Hemingway,1952,3.73,520630
131,4395,The Grapes of Wrath,John Steinbeck,1939,3.92,322321
132,3431,The Five People You Meet in Heaven,Mitch Albom,2003,3.9,449501
133,8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,4.23,502247
134,3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009,4.34,593173
135,62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000,4.54,469022
136,137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,3.79,465676
137,10964,"Outlander (Outlander, #1)",Diana Gabaldon,1991,4.2,515547
138,12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,3.37,509883
139,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,2011,3.89,613674
140,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007,4.2,443951
141,18007564,The Martian,Andy Weir,2012,4.39,423344
142,5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989,4.29,462517
143,18143977,All the Light We Cannot See,Anthony Doerr,2014,4.31,470001
144,8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,4.4,487775
145,976,Deception Point,Dan Brown,2001,3.67,455610
146,17333223,The Goldfinch,Donna Tartt,2013,3.87,396756
147,1217100,Thirteen Reasons Why,Jay Asher,2007,4.02,463783
148,2865,Girl with a Pearl Earring,Tracy Chevalier,1999,3.85,467577
149,4374400,"If I Stay (If I Stay, #1)",Gayle Forman,2009,3.96,503527
150,4989,The Red Tent,Anita Diamant,1997,4.16,424981
151,28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006,4.23,514932
152,5526,Dear John,Nicholas Sparks,2006,4.01,441062
153,1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,2008,4.21,541117
154,8852,Macbeth,William Shakespeare,1606,3.88,496018
155,15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,1954,4.42,480446
156,42156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,2004,3.83,403601
157,23772,Green Eggs and Ham,"Dr. Seuss, לאה נאור",1960,4.29,457475
158,6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964,4.1,453959
159,2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,2008,4.39,508214
160,2623,Great Expectations,Charles Dickens,1860,3.75,459247
161,18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,1955,4.51,463959
162,49552,The Stranger,"Albert Camus, Matthew    Ward",1942,3.96,420600
163,7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,2010,4.35,271576
164,15745753,Eleanor & Park,Rainbow Rowell,2013,4.11,514312
165,13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,2005,4.1,428186
166,7735333,"Matched (Matched, #1)",Ally Condie,2010,3.68,511815
167,4407,"American Gods (American Gods, #1)",Neil Gaiman,2001,4.11,378019
168,149267,The Stand,"Stephen King, Bernie Wrightson",1978,4.34,438832
169,6400090,The Last Song,Nicholas Sparks,2008,4.14,424637
170,11125,Digital Fortress,Dan Brown,1998,3.6,423019
171,6969,Emma,"Jane Austen, Fiona Stafford",1815,3.99,459826
172,15823480,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,4.02,297472
173,227463,A Clockwork Orange,Anthony Burgess,1962,3.98,431195
174,1812457,The Shack,William Paul Young,2007,3.74,419539
175,4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,2009,4.5,397500
176,18342,It,Stephen King,1986,4.18,292592
177,7144,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",1866,4.18,380903
178,6514,The Bell Jar,Sylvia Plath,1963,3.98,401605
179,252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,1996,4.07,392103
180,52036,Siddhartha,"Hermann Hesse, Hilda Rosner",1922,3.99,372099
181,168642,In Cold Blood,Truman Capote,1965,4.05,381652
182,6304335,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",2009,3.76,436093
183,7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,4.33,490890
184,39988,Matilda,"Roald Dahl, Quentin Blake",1988,4.29,440743
185,9361589,The Night Circus,Erin Morgenstern,2011,4.03,429543
186,37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,2001,4.04,381080
187,24770,"Uglies (Uglies, #1)",Scott Westerfeld,2005,3.86,449073
188,10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,2011,4.31,365954
189,33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955,4.47,389054
190,12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,3.96,379872
